Title,Authors,Year,Journal,Included
Opinion: Big Data Elements Key to Medical Imaging Machine Learning Tool Development.,"Wu DY, Vo DT, Seiler SJ.",2024,J Breast Imaging,No
"Preoperative ternary classification using DCE-MRI radiomics and machine learning for HCC, ICC, and HIPT.","Xie P, Liao ZJ, Xie L, Zhong J, Zhang X, Yuan W, Yin Y, Chen T, Lv H, Wen X, Wang X, Zhang L.",2025,Insights Imaging,No
Machine learning to predict high-risk coronary artery disease on CT in the SCOT-HEART trial.,"Williams MC, Guimaraes ARM, Jiang M, Kwieciński J, Weir-McCall JR, Adamson PD, Mills NL, Roditi GH, van Beek EJR, Nicol E, Berman DS, Slomka PJ, Dweck MR, Newby DE, Dey D.",2025,Open Heart,No
Macrotrabecular-massive subtype in hepatocellular carcinoma based on contrast-enhanced CT: deep learning outperforms machine learning.,"Jia L, Li Z, Huang G, Jiang H, Xu H, Zhao J, Li J, Lei J.",2025,Insights Imaging,No
Machine Learning-Driven radiomics on 18 F-FDG PET for glioma diagnosis: a systematic review and meta-analysis.,"Shahriari A, Ghazanafar Ahari S, Mousavi A, Sadeghi M, Abbasi M, Hosseinpour M, Mir A, Zohouri Zanganeh D, Gharedaghi H, Ezati S, Sareminia A, Seyedi D, Shokouhfar M, Darzi A, Ghaedamini A, Zamani S, Khosravi F, Asadi Anar M.",2025,Cancer Imaging,Yes
Physical foundations for trustworthy medical imaging: A survey for artificial intelligence researchers.,"Cobo M, Corral Fontecha D, Silva W, Lloret Iglesias L.",2025,Artif Intell Med,Yes
Using Machine Learning to Predict Advanced-Stage Progression of Intermediate-Stage Hepatocellular Carcinoma after Transarterial Chemoembolization.,"Wei R, Liu Z, Ju L, Zuo M, Yao W, Li W, Fu Y, Liu W, Li C, Wu P, Han J, Zhang Y, Tu J, Ren J, An C, Peng Z.",2025,Radiol Imaging Cancer,No
Machine learning-based MRI imaging for prostate cancer diagnosis: systematic review and meta-analysis.,"Zhao Y, Zhang L, Zhang S, Li J, Shi K, Yao D, Li Q, Zhang T, Xu L, Geng L, Sun Y, Wan J.",2025,Prostate Cancer Prostatic Dis,No
Explainable self-supervised learning for medical image diagnosis based on DINO V2 model and semantic search.,"Hussien A, Elkhateb A, Saeed M, Elsabawy NM, Elnakeeb AE, Elrashidy N.",2025,Sci Rep,No
Utility of machine learning for predicting severe chronic thromboembolic pulmonary hypertension based on CT metrics in a surgical cohort.,"Grubert Van Iderstine M, Kim S, Karur GR, Granton J, de Perrot M, McIntosh C, McInnis M.",2025,Eur Radiol,No
18F-FDG PET/CT-based deep radiomic models for enhancing chemotherapy response prediction in breast cancer.,"Jiang Z, Low J, Huang C, Yue Y, Njeh C, Oderinde O.",2025,Med Oncol,No
